source,target,mean_diff,p,perms,rank,q
11,17,0.08333333333333326,1.0,20000,291,1.0
12,17,-0.16666666666666674,0.6424678766061697,20000,192,1.0
13,17,-0.08333333333333326,1.0,20000,350,1.0
14,17,-0.25,0.3107344632768362,20000,45,1.0
15,17,0.08333333333333337,1.0,20000,382,1.0
16,17,0.24999999999999994,0.4120293985300735,20000,105,1.0
18,17,-0.33333333333333326,0.15229238538073098,20000,24,1.0
19,17,-0.16666666666666663,0.5868206589670516,20000,136,1.0
20,17,-0.25,0.368181590920454,20000,77,1.0
21,17,-0.16666666666666674,0.639918004099795,20000,181,1.0
22,17,-0.16666666666666663,0.6672166391680416,20000,204,1.0
0,18,0.08333333333333337,1.0,20000,270,1.0
1,18,-0.08333333333333337,1.0,20000,258,1.0
2,18,0.33333333333333326,0.15774211289435527,20000,29,1.0
3,18,-0.16666666666666669,0.6829158542072896,20000,230,1.0
4,18,0.0,1.0,20000,421,1.0
5,18,0.0,1.0,20000,391,1.0
6,18,-0.08333333333333337,1.0,20000,360,1.0
7,18,0.41666666666666663,0.0656467176641168,20000,6,1.0
8,18,0.08333333333333326,1.0,20000,320,1.0
9,18,0.0,1.0,20000,281,1.0
10,18,-0.16666666666666663,0.6670166491675417,20000,202,1.0
11,18,0.0,1.0,20000,292,1.0
12,18,0.08333333333333337,1.0,20000,311,1.0
13,18,-0.08333333333333337,1.0,20000,351,1.0
14,18,0.0,1.0,20000,336,1.0
15,18,0.25,0.4065296735163242,20000,102,1.0
16,18,0.0,1.0,20000,416,1.0
17,18,0.08333333333333337,1.0,20000,403,1.0
19,18,0.0,1.0,20000,482,1.0
20,18,0.0,1.0,20000,463,1.0
21,18,0.08333333333333337,1.0,20000,243,1.0
22,18,0.0,1.0,20000,502,1.0
0,19,-0.08333333333333337,1.0,20000,271,1.0
1,19,0.16666666666666674,0.6382180890955452,20000,175,1.0
2,19,0.33333333333333337,0.19144042797860106,20000,33,1.0
3,19,0.16666666666666663,0.6819659017049148,20000,226,1.0
4,19,-0.08333333333333337,1.0,20000,422,1.0
5,19,0.16666666666666663,0.5896205189740513,20000,142,1.0
6,19,-0.08333333333333337,1.0,20000,361,1.0
7,19,0.16666666666666663,0.5867206639668017,20000,135,1.0
